ekatte;name;kmetstvo;category
0;Състояние към: 8.7.2022 г.;;
14;Абланица;BLG52-01;5
28;Абланица;LOV18-01;7
881;Абланица;PAZ08-01;6
31;Абрит;DOB20-01;7
59;Аврамово;BLG53-01;5
62;Аврамово;KRZ02-19;8
84;Аврен;VAR01-01;5
93;Аврен;KRZ15-01;6
103;Агатово;GAB29-01;7
117;Азманите;GAB35-00;8
895;Айдемир;SLS31-01;4
148;Айрово;KRZ16-50;5
151;Айтос;BGS01-00;2
165;Аканджиево;PAZ04-07;6
179;Акациево;VID09-00;8
182;Аксаково;VAR02-00;3
196;Аламовци;SML11-01;7
206;Албанци;KRZ08-17;8
215;Алваново;TGV35-01;7
223;Алдомировци;SFO45-01;5
254;Алеко Константиново;PAZ19-01;5
237;Алеково;VTR28-01;6
240;Алеково;SLS01-01;6
268;Александрия;DOB20-00;8
271;Александрово;BGS17-00;7
285;Александрово;VTR28-02;7
299;Александрово;LOV18-02;5
309;Александрово;SZR24-01;5
312;Александрово;TGV35-02;7
326;Александрово;HKV34-01;7
330;Александрово;SHU25-00;8
343;Александрово;JAM22-01;7
360;Александър Стамболийски;DOB12-00;8
83421;Алендарова;PAZ08-19;7
388;Алиговска;SML31-01;8
391;Алино;SFO39-01;7
401;Алтимир;VRC08-01;6
415;Алфатар;SLS01-00;4
429;Алцек;DOB15-02;7
446;Ангел войвода;HKV19-01;6
432;Ангеларий;DOB27-01;7
456;Ангелов;GAB05-09;8
480;Анево;PDV43-01;5
494;Антимово;SLS34-00;8
919;Антимово;VID09-02;6
504;Антон;SFO54-00;5
518;Антоново;TGV02-00;4
521;Аплаци;VTR13-00;8
549;Априлово;SFO10-01;5
552;Априлово;SZR07-01;7
566;Априлово;TGV24-01;7
571;Априлци;PAZ19-02;6
905;Априлци;KRZ14-48;7
52218;Априлци;LOV02-00;4
583;Арбанаси;VTR04-01;4
597;Арда;SML31-01;6
607;Ардино;KRZ02-00;3
610;Арзан;PER08-00;8
624;Арковна;VAR16-00;8
638;Армените;GAB05-00;8
641;Армянковци;GAB35-00;8
655;Арнаутито;SZR31-01;7
669;Арпаджик;SML16-00;8
672;Арчар;VID16-01;5
697;Асен;SZR24-02;6
702;Асеновград;PDV01-00;2
713;Асеновец;SLV16-01;6
730;Асеново;VTR31-01;6
744;Асеново;PVN21-16;7
758;Асеново;JAM25-00;8
761;Асеновци;PVN16-01;5
775;Аспарухово;BGS09-01;7
789;Аспарухово;VAR16-02;6
792;Аспарухово;MON26-01;7
802;Аспарухово;PVN16-02;6
63015;Атия;BGS21-13;6
816;Атолово;JAM22-02;7
828;Ауста;KRZ21-30;7
833;Ахелой;BGS17-02;4
847;Ахматово;PDV28-12;7
864;Ахрянско;KRZ02-01;8
878;Ахтопол;BGS13-01;4
2021;Баба Тонка;TGV24-02;8
2035;Бабек;PDV07-00;8
2049;Бабино;KNL04-14;6
2052;Бабинска река;KNL04-00;8
7884;Бабинци;LOV33-14;7
2066;Бабица;PER08-00;8
2076;Баблон;SML31-30;8
2083;Бабово;RSE33-01;6
2097;Бабук;SLS31-02;6
2107;Бабяк;BLG02-01;6
2110;Багалевци;VTR13-00;8
2124;Багра;KRZ16-51;8
2138;Багренци;KNL29-01;6
2141;Багрилци;KRZ15-02;8
2155;Багрянка;KRZ21-01;7
2169;Бадевци;VTR13-00;8
2172;Бадино;KNL05-00;8
2191;Баевци;VTR13-00;8
2207;Баевци;GAB05-00;8
2213;Баждари;VTR13-00;8
2227;Байкал;PVN10-01;6
2230;Байкалско;PER36-00;8
2244;Байково;SHU11-01;7
2258;Байлово;SFO10-02;7
2261;Бакалите;KRZ35-23;8
2289;Бакьово;SFO43-00;8
2292;Балабаново;KRZ21-02;7
2302;Балабанско;LOV34-00;7
2333;Балалея;GAB12-00;8
2347;Баланите;GAB05-00;8
2350;Баланово;KNL48-01;6
2364;Балван;VTR04-02;6
2378;Балванците;GAB12-00;8
2381;Балдево;BLG13-01;7
2395;Балей;VID06-01;6
2405;Балик;DOB27-02;7
2419;Балиновци;GAB05-09;8
2436;Балкан;HKV30-12;7
2453;Балкан махала;PDV15-00;8
2448;Балканец;LOV34-02;7
2467;Балкански;RAZ26-01;7
2470;Балканци;VTR31-02;7
2484;Балканци;DOB12-00;8
2498;Балуци;VTR13-00;8
2508;Балчик;DOB03-00;2
2511;Балша;SOF46-36;6
2539;Бальовци;SFO20-06;8
2542;Балювица;MON02-00;8
2556;Банари;GAB12-00;8
2563;Бангейци;GAB35-00;8
2587;Баниска;RSE08-01;5
44402;Баните;SML02-00;5
2590;Баница;VRC10-01;5
2600;Баничан;BLG11-01;6
2614;Банище;PER08-00;8
2628;Банковец;TGV02-00;8
2631;Банковци;GAB05-00;8
2645;Банкя;PER51-00;8
2659;Банкя;SOF46-00;3
2662;Баново;VAR26-00;7
2676;Банско;BLG01-00;3
2689;Банчовци;SFO20-00;8
2693;Баня;BLG37-01;5
2703;Баня;BGS15-01;7
2717;Баня;PAZ20-01;6
2720;Баня;PDV13-01;4
2734;Баня;SLV16-02;5
2748;Бараково;KNL27-01;5
2751;Бараци;KRZ15-60;7
2779;Барутин;SML10-01;5
2796;Басарбово;RSE27-01;5
2806;Баскалци;BLG33-00;8
2810;Бата;BGS17-03;6
2823;Батак;VTR22-01;6
2837;Батак;PAZ03-00;4
72223;Батановци;PER32-18;4
2854;Батин;RSE03-01;6
2868;Батишница;RSE08-02;5
2871;Батово;DOB15-03;6
2885;Батошево;GAB29-02;6
2899;Батулия;SFO43-00;7
2909;Батулци;LOV38-01;7
2912;Баурене;VRC21-01;7
2926;Бахалин;SFO45-00;8
2935;Баховица;LOV18-03;6
2943;Бахреци;GAB35-00;8
2957;Бацова махала;PVN21-02;6
2960;Бачево;BLG37-02;5
2974;Бачково;PDV01-00;6
2991;Башево;KRZ02-02;7
3006;Бащино;KRZ16-01;7
3017;Бащино;SLS07-01;7
3023;Бащино;SZR23-00;8
3037;Баячево;TGV35-03;6
3040;Бдинци;DOB15-00;8
3054;Беброво;VTR13-01;7
3068;Беглеж;PVN24-01;6
3085;Бегово;PDV12-01;6
3099;Бегуновци;PER08-04;7
3109;Бегунци;PDV13-02;7
3112;Беден;SML09-01;7
3126;Беджене;SHU22-00;8
3143;Бежаново;LOV19-01;5
3157;Бежаново;DOB12-00;8
3174;Безводица;DOB03-01;6
3188;Безводно;KRZ35-00;8
3191;Безден;SFO26-01;6
3201;Безденица;MON29-00;7
3215;Безмер;DOB27-03;5
3229;Безмер;JAM25-02;5
3232;Бейковци;VTR13-00;8
3246;Бекриите;GAB05-00;8
3561;Бел камен;BLG53-02;6
3263;Бела;VID16-00;8
3280;Бела Рада;VID09-03;7
3277;Беланица;PER36-00;8
3294;Беласица;BLG33-02;5
3304;Белащица;PDV26-01;5
3318;Белгун;DOB17-01;7
3321;Белев дол;SML31-00;8
3335;Белевехчево;BLG40-00;8
3349;Белеврен;BGS06-00;8
3366;Белене;PVN03-00;3
3373;Беленци;LOV19-02;7
3383;Бели брег;MON04-00;8
3397;Бели брод;MON04-11;7
3407;Бели бряг;SZR27-00;8
3410;Бели вир;KRZ35-02;6
3424;Бели дол;HKV11-04;8
3438;Бели извор;VRC10-02;6
3441;Бели Искър;SFO39-02;6
24092;Бели Лом;RAZ17-07;6
3486;Бели Осъм;LOV34-03;6
3499;Бели пласт;KRZ16-02;6
3455;Белила;BGS06-00;8
3469;Белимел;MON36-10;7
3472;Белинци;RAZ14-01;6
3504;Белица;BLG02-00;4
3513;Белица;GAB35-00;8
3527;Белица;SLS34-02;6
3530;Белица;PDV15-01;7
3544;Белица;HKV17-01;7
7960;Белица;SFO20-00;8
3558;Белиш;LOV34-04;7
3664;Бело поле;BLG03-02;5
3678;Бело поле;VID33-06;6
3575;Беловец;RAZ16-01;5
3589;Беловица;PDV37-01;7
3592;Белово;PAZ04-00;3
3602;Белоградец;VAR08-01;5
3616;Белоградчик;VID01-00;3
27440;Белодол;BGS17-08;6
3620;Белозем;PDV25-01;4
3633;Белокопитово;SHU30-01;7
3647;Беломорци;TGV22-01;6
3650;Беломъжите;GAB05-00;8
3681;Белополци;HKV11-01;7
3695;Белополяне;HKV11-02;7
3705;Белопопци;SFO10-03;6
3719;Белослав;VAR04-00;3
3722;Белотинци;MON29-00;7
3745;Белцов;RSE37-01;6
3753;Белчевци;VTR04-09;8
3767;Белчин;SFO39-03;6
3770;Белчински бани;SFO39-03;8
3784;Бельово;BLG40-00;8
3798;Беляковец;VTR04-03;5
3808;Беляново;RSE37-02;8
3811;Бенковски;VAR01-01;6
3825;Бенковски;KRZ14-02;5
3839;Бенковски;PDV17-01;5
3842;Бенковски;SFO56-00;7
3856;Бенковски;SZR31-00;7
3860;Бенковски;DOB15-05;6
3873;Берайнци;PER51-00;8
3887;Беренде;PER19-00;8
3890;Беренде;SFO16-00;8
3900;Беренде извор;SFO16-00;8
3914;Бериево;GAB29-03;7
3928;Берковица;MON02-00;3
3931;Берковски;TGV24-00;8
3945;Берковци;VTR13-00;8
3959;Бероново;BGS23-00;8
3962;Берсин;KNL29-02;7
3976;Беслен;BLG52-02;6
3986;Беснурка;KRZ35-36;8
3993;Биволаре;PVN10-02;6
4008;Биволяне;KRZ21-03;7
4011;Бижовци;VTR04-00;8
4025;Бижовци;GAB35-00;8
4039;Биково;SLV20-01;7
4042;Билинци;PER08-00;8
4056;Билка;BGS18-01;6
4068;Билкини;GAB12-00;8
4090;Било;DOB17-00;8
4100;Билянска;SML31-00;8
4114;Бинкос;SLV20-02;7
7836;Биркова;PAZ08-02;7
4128;Бисер;HKV33-01;5
4131;Бисерци;RAZ16-02;5
4145;Бистра;SLS01-02;7
4159;Бистра;TGV35-04;7
4162;Бистренци;RSE04-10;7
4176;Бистрец;BGS06-00;7
4193;Бистрец;DOB20-03;7
4203;Бистрилица;MON02-02;7
4217;Бистрица;BLG03-03;8
4220;Бистрица;KNL48-02;5
4234;Бистрица;SOF46-54;4
4248;Бистроглед;KRZ02-35;8
4251;Благово;MON29-04;6
4265;Благово;SHU30-25;8
4279;Благоевград;BLG03-00;1
4282;Благоево;VTR31-03;7
4296;Благоево;RAZ26-02;6
4306;Благун;KRZ15-50;8
4314;Блажиево;KNL05-02;6
4323;Блатец;KNL29-00;8
4337;Блатец;SLV20-03;5
4340;Блатешница;PER19-00;8
