document;doc_kind;doc_name;doc_inst;doc_num;doc_date;doc_act;dv_danni;dv_date
2000;Решение;Решение 432 на МС от 05.07.2022 г.;Министерски съвет;2022/432;5.7.2022 г.;8.7.2022 г.;2022/53;8.7.2022 г.
1999;Служебен документ;Текуща демографска статистика за населението към 31.12.2020 г.;Национален статистически институт;2020/;31.12.2020 г.;31.12.2020 г.;;
1998;Решение;Решение 118 на Общински съвет Рила от 25.06.2020 г.;Общински съвет Рила;2020/118;25.6.2020 г.;21.7.2020 г.;2020/65;21.7.2020 г.
1986;Решение;Решение 54 на Общински съвет Ивайловград от 28.05.2020 г.;Общински съвет Ивайловград;2020/54;28.5.2020 г.;19.6.2020 г.;2020/55;19.6.2020 г.
1985;Решение;Решение 67 на Общински съвет Първомай от 30.04.2020 г.;Общински съвет Първомай;2020/67;30.4.2020 г.;29.5.2020 г.;2020/48;26.5.2020 г.
1981;Решение;Решение 127 на Общински съвет Асеновград от 27.02.2020 г.;Общински съвет Асеновград;2020/127;27.2.2020 г.;31.3.2020 г.;2020/30;31.3.2020 г.
1955;Решение;Решение 8 на Общински съвет Горна Оряховица от 28.11.2019 г.;Общински съвет Горна Оряховица;2019/8;28.11.2019 г.;24.1.2020 г.;2020/6;21.1.2020 г.
1947;Решение;Решение 13 на Общински съвет Вършец от 20.12.2019 г.;Общински съвет Вършец;2019/13;20.12.2019 г.;17.1.2020 г.;2020/4;14.1.2020 г.
1954;Решение;Решение 19 на Общински съвет Георги Дамяново от 19.12.2019 г.;Общински съвет Георги Дамяново;2019/19;19.12.2019 г.;14.1.2020 г.;2020/4;14.1.2020 г.
1982;Служебен документ;Текуща демографска статистика за населението към 31.12.2019 г.;Национален статистически институт;2019/;31.12.2019 г.;31.12.2019 г.;;
1942;Решение;Решение 9 на Общински съвет Монтана от 21.11.2019 г.;Общински съвет Монтана;2019/9;21.11.2019 г.;17.12.2019 г.;1919/99;17.12.1919 г.
1934;Указ;Указ 107 на Президента на Републиката от 08.05.2019 г.;Президент на Републиката;2019/107;8.5.2019 г.;17.5.2019 г.;2019/40;17.5.2019 г.
1941;Решение;Решение 082 на Общински съвет Севлиево от 23.04.2019 г.;Общински съвет Севлиево;2019/082;23.4.2019 г.;14.5.2019 г.;2019/39;14.5.2019 г.
1933;Служебен документ;Текуща демографска статистика за населението към 31.12.2018 г.;Национален статистически институт;2018/;31.12.2018 г.;31.12.2018 г.;;
1943;Заповед;Заповед РД-02-14-1072 на МРРБ от 30.10.2018 г.;Министерство на регионалното развитие и благоустройството;2018/РД-02-14-1072;30.10.2018 г.;27.11.2018 г.;2018/98;27.11.2018 г.
1962;Решение;Решение 336 на Общински съвет Шабла от 29.11.2017 г.;Общински съвет Шабла;2017/336;29.11.2017 г.;23.1.2018 г.;2018/8;23.1.2018 г.
1931;Решение;Решение 435 на Общински съвет Белица от 14.12.2017 г.;Общински съвет Белица;2017/435;14.12.2017 г.;19.1.2018 г.;2018/7;19.1.2018 г.
1932;Служебен документ;Текуща демографска статистика за населението към 31.12.2017 г.;Национален статистически институт;2017/;31.12.2017 г.;31.12.2017 г.;;
1930;Решение;Решение 422 на Общински съвет Ловеч от 23.05.2017 г.;Общински съвет Ловеч;2017/422;23.5.2017 г.;11.7.2017 г.;2017/56;11.7.2017 г.
1927;Решение;Решение 10 на Общински съвет Габрово от 26.01.2017 г.;Общински съвет Габрово;2017/10;26.1.2017 г.;20.2.2017 г.;2017/16;17.2.2017 г.
